,headline,author,leadparagraph,publication date,keywords
0,How Putin Turned a Western Boycott Into a Bonanza,,"If companies want to leave Russia, the president is setting the terms — in ways that benefit his government, his elites and his war.",2023-12-17 09:53:44+00:00,"['Russia', 'Russian Invasion of Ukraine (2022)', 'Putin, Vladimir V', 'Ukraine', 'Boycotts', 'Economic Conditions and Trends', 'Corporations']"
1,Huge Turbines Will Soon Bring First Offshore Wind Power to New Yorkers,,"The pier on the Connecticut coast is filled with so many massive oddities that it could be mistaken for the set of a sci-fi movie. Sword-shaped blades as long as a football field lie stacked along one edge, while towering yellow and green cranes hoist giant steel cylinders to stand like rockets on a launchpad.",2023-11-27 08:00:25+00:00,"['Wind Power', 'Ships and Shipping', 'Organized Labor', 'Eversource Energy', 'Orsted AS', 'Atlantic Ocean', 'New London (Conn)', 'Northeastern States (US)', 'Ports']"
2,It’s Always Fire Season Now,,"It’s the end of fire season in the Amazon, where I am, and I can smell the smoke from burning trees. So can millions of people in Indonesia, India and the United States.",2023-11-16 19:32:38+00:00,"['Wildfires', 'Global Warming']"
3,Wednesday Briefing: Updates on Gaza’s Main Hospital,,"Al-Shifa, Gaza’s main hospital complex, has been cut off from electricity for days. Hospital officials warn that the lives of roughly three dozen premature babies are under threat now that the incubators needed to keep them alive are without power.",2023-11-14 21:04:18+00:00,"['Far East, South and Southeast Asia and Pacific Areas', 'Hamas', 'Israel', 'Al Shifa Hospital (Gaza Strip)', 'Global Warming', 'United Nations', 'Putin, Vladimir V', 'Politkovskaya, Anna']"
4,Germany Backs Siemens Energy in $16 Billion Rescue Package for Green Projects,,"The German government has agreed to extend financial guarantees for Siemens Energy, a major manufacturer of wind farms based in Munich, as part of a package worth 15 billion euros, or $16.2 billion, aimed at helping the ailing company continue to participate in large renewable energy projects.",2023-11-14 16:50:06+00:00,"['Wind Power', 'Alternative and Renewable Energy', 'Siemens AG', 'Germany']"
5,"Offshore Wind Firm Cancels N.J. Projects, as Industry’s Prospects Dim",,"Plans to build two wind farms off the coast of New Jersey were scrapped, the company behind them said on Wednesday, a blow to the state’s efforts to cut greenhouse gas emissions and the latest shakeout in the U.S. wind industry. ",2023-11-01 12:42:40+00:00,"['Wind Power', 'Company Reports', 'Inflation (Economics)', 'Orsted AS', 'Nipper, Mads', 'New Jersey', 'United States']"
6,"Wanda Poltawska, 101, Who Forged a Friendship With a Future Pope, Dies",,"Wanda Poltawska, a Polish psychiatrist and author who after World War II sought spiritual help to cope with the horrors she had experienced in a Nazi concentration camp and became a lifelong friend of her counselor, a priest who would one day be Pope John Paul II, died on Oct. 24 at her home in Krakow. She was 101.",2023-10-30 17:11:19+00:00,"['Poltawska, Wanda (1921-2023)', 'Deaths (Obituaries)', 'Holocaust and the Nazi Era', 'Concentration Camps', 'Priests', 'John Paul II', 'Roman Catholic Church', 'Poland']"
7,Friday Briefing,,The leaders of the 27 E.U. nations called yesterday for a break in the fighting in Gaza to address a dire humanitarian crisis inside the territory. Their statement came hours after the Israeli military said it had briefly sent tanks into Gaza in preparation for the next stage of fighting.,2023-10-27 04:01:03+00:00,[]
8,Siemens Energy in Talks With German Government for Financial Help,,"Siemens Energy, a major European manufacturer of wind farms, power grids and natural gas turbines, said Thursday that it was in talks with the German government about securing financial guarantees to help it continue to build future large projects.",2023-10-26 19:43:32+00:00,"['Wind Power', 'Alternative and Renewable Energy', 'Factories and Manufacturing', 'Guarantees and Warranties', 'Company Reports', 'Politics and Government', 'Siemens AG', 'Germany']"
9,The Full Guest List for Biden’s State Dinner With Australia,,"The White House invited more than 300 guests to the state dinner hosted by President Biden for Prime Minister Anthony Albanese of Australia on Wednesday night, including business leaders, musicians, athletes and prominent Australian Americans. Here is the full list of those invited as provided by the White House.",2023-10-25 23:01:29+00:00,"['United States Politics and Government', 'United States International Relations', 'White House Building (Washington, DC)', 'Biden, Joseph R Jr', 'Albanese, Anthony (1963- )', 'Australia']"
